# 数据集：synthetic_takeaway_menu_v3
# 说明：用于推荐算法测试的420道模拟外卖数据：180道属于60个营养相似组，240道差异化菜品两两之间至少有一项核心营养差异超过10%。
# 菜品数量：420
菜品ID	平台	商家名称	菜品名称	分类	每份重量(g)	价格(元)	热量(kcal)	蛋白质(g)	脂肪(g)	碳水(g)	膳食纤维(g)	钠(mg)	添加糖(g)	营养近似组	价格档位	数据角色
sim-158	jd	城市标准食堂	照烧鸡腿紫米饭（标准版）	杂粮饭	494	45.0	730	45.6	22.2	92.0	9.4	950	1.0	similar-053	standard	similar_group
sim-159	meituan	精品健康餐厅	照烧鸡腿紫米饭（精品版）	杂粮饭	494	85.5	715	47.0	21.5	90.2	9.9	884	0.9	similar-053	premium	similar_group
sim-160	jd	街坊实惠餐厅	照烧鸡腿五谷饭（实惠版）	杂粮饭	512	33.9	772	45.3	23.6	101.0	10.2	1035	2.0	similar-054	economy	similar_group
sim-161	meituan	城市标准食堂	照烧鸡腿五谷饭（标准版）	杂粮饭	512	47.1	757	46.2	22.9	100.0	10.5	995	2.0	similar-054	standard	similar_group
sim-162	eleme	精品健康餐厅	照烧鸡腿五谷饭（精品版）	杂粮饭	512	89.5	742	47.6	22.2	98.0	11.0	925	1.8	similar-054	premium	similar_group
sim-163	meituan	街坊实惠餐厅	芹菜瘦肉糙米饭（实惠版）	杂粮饭	426	27.6	654	44.7	22.9	54.5	5.3	900	4.1	similar-055	economy	similar_group
sim-164	eleme	城市标准食堂	芹菜瘦肉糙米饭（标准版）	杂粮饭	426	38.3	641	45.6	22.2	54.0	5.5	865	4.0	similar-055	standard	similar_group
sim-165	jd	精品健康餐厅	芹菜瘦肉糙米饭（精品版）	杂粮饭	426	72.8	628	47.0	21.5	52.9	5.8	804	3.6	similar-055	premium	similar_group
sim-166	eleme	街坊实惠餐厅	芹菜瘦肉藜麦饭（实惠版）	轻食饭	444	29.1	681	45.3	23.6	62.6	6.4	946	5.1	similar-056	economy	similar_group
sim-167	jd	城市标准食堂	芹菜瘦肉藜麦饭（标准版）	轻食饭	444	40.4	668	46.2	22.9	62.0	6.6	910	5.0	similar-056	standard	similar_group
sim-168	meituan	精品健康餐厅	芹菜瘦肉藜麦饭（精品版）	轻食饭	444	76.8	655	47.6	22.2	60.8	6.9	846	4.5	similar-056	premium	similar_group
sim-169	jd	街坊实惠餐厅	芹菜瘦肉荞麦面（实惠版）	面食	462	30.6	709	45.9	24.3	70.7	7.5	993	6.1	similar-057	economy	similar_group
sim-170	meituan	城市标准食堂	芹菜瘦肉荞麦面（标准版）	面食	462	42.5	695	46.8	23.6	70.0	7.7	955	6.0	similar-057	standard	similar_group
sim-171	eleme	精品健康餐厅	芹菜瘦肉荞麦面（精品版）	面食	462	80.8	681	48.2	22.9	68.6	8.1	888	5.4	similar-057	premium	similar_group
sim-172	meituan	街坊实惠餐厅	芹菜瘦肉全麦意面（实惠版）	意面	480	32.1	736	46.5	25.0	78.8	8.5	1040	1.0	similar-058	economy	similar_group
sim-173	eleme	城市标准食堂	芹菜瘦肉全麦意面（标准版）	意面	480	44.6	722	47.4	24.3	78.0	8.8	1000	1.0	similar-058	standard	similar_group
sim-174	jd	精品健康餐厅	芹菜瘦肉全麦意面（精品版）	意面	480	84.7	708	48.8	23.6	76.4	9.2	930	0.9	similar-058	premium	similar_group
sim-175	eleme	街坊实惠餐厅	芹菜瘦肉紫米饭（实惠版）	杂粮饭	498	33.6	764	47.0	25.8	86.9	9.6	1087	2.0	similar-059	economy	similar_group
sim-176	jd	城市标准食堂	芹菜瘦肉紫米饭（标准版）	杂粮饭	498	46.7	749	48.0	25.0	86.0	9.9	1045	2.0	similar-059	standard	similar_group
sim-177	meituan	精品健康餐厅	芹菜瘦肉紫米饭（精品版）	杂粮饭	498	88.7	734	49.4	24.2	84.3	10.4	972	1.8	similar-059	premium	similar_group
sim-178	jd	街坊实惠餐厅	芹菜瘦肉五谷饭（实惠版）	杂粮饭	516	35.1	792	47.6	26.5	94.9	10.7	1134	3.1	similar-060	economy	similar_group
sim-179	meituan	城市标准食堂	芹菜瘦肉五谷饭（标准版）	杂粮饭	516	48.8	776	48.6	25.7	94.0	11.0	1090	3.0	similar-060	standard	similar_group
sim-180	eleme	精品健康餐厅	芹菜瘦肉五谷饭（精品版）	杂粮饭	516	92.7	760	50.1	24.9	92.1	11.6	1014	2.7	similar-060	premium	similar_group
sim-181	meituan	差异化营养厨房01	特色营养套餐001	差异化套餐1	300	18.0	272	15.0	8.0	35.0	3.0	350	0		distinct	distinct
sim-182	eleme	差异化营养厨房02	特色营养套餐002	差异化套餐2	317	25.3	399	15.0	11.0	60.0	5.5	423	3		distinct	distinct
sim-183	jd	差异化营养厨房03	特色营养套餐003	差异化套餐3	334	32.6	603	15.0	15.0	102.0	10.5	496	6		distinct	distinct
sim-184	meituan	差异化营养厨房04	特色营养套餐004	差异化套餐4	351	39.0	561	15.0	29.0	60.0	4.0	569	9		distinct	distinct
sim-185	eleme	差异化营养厨房05	特色营养套餐005	差异化套餐5	368	46.3	556	19.0	8.0	102.0	7.5	642	12		distinct	distinct
sim-186	jd	差异化营养厨房06	特色营养套餐006	差异化套餐6	385	53.6	451	19.0	15.0	60.0	3.0	715	0		distinct	distinct
sim-187	meituan	差异化营养厨房07	特色营养套餐007	差异化套餐7	402	60.0	673	19.0	21.0	102.0	5.5	788	3		distinct	distinct
sim-188	eleme	差异化营养厨房08	特色营养套餐008	差异化套餐8	419	67.3	352	24.0	8.0	46.0	10.5	861	6		distinct	distinct
sim-189	jd	差异化营养厨房09	特色营养套餐009	差异化套餐1	436	19.6	603	24.0	11.0	102.0	4.0	934	9		distinct	distinct
sim-190	meituan	差异化营养厨房10	特色营养套餐010	差异化套餐2	453	26.0	469	24.0	21.0	46.0	7.5	1007	12		distinct	distinct
sim-191	eleme	差异化营养厨房11	特色营养套餐011	差异化套餐3	470	33.3	765	24.0	29.0	102.0	3.0	1080	0		distinct	distinct
sim-192	jd	差异化营养厨房12	特色营养套餐012	差异化套餐4	487	40.6	407	31.0	11.0	46.0	5.5	1153	3		distinct	distinct
sim-193	meituan	差异化营养厨房13	特色营养套餐013	差异化套餐5	504	47.0	571	31.0	15.0	78.0	10.5	1226	6		distinct	distinct
sim-194	eleme	差异化营养厨房14	特色营养套餐014	差异化套餐6	521	54.3	569	31.0	29.0	46.0	4.0	1299	9		distinct	distinct
sim-195	jd	差异化营养厨房15	特色营养套餐015	差异化套餐7	538	61.6	544	40.0	8.0	78.0	7.5	1372	12		distinct	distinct
sim-196	meituan	差异化营养厨房16	特色营养套餐016	差异化套餐8	555	68.0	479	40.0	15.0	46.0	3.0	1445	0		distinct	distinct
sim-197	eleme	差异化营养厨房17	特色营养套餐017	差异化套餐1	572	20.3	661	40.0	21.0	78.0	5.5	1518	3		distinct	distinct
sim-198	jd	差异化营养厨房18	特色营养套餐018	差异化套餐2	589	27.6	272	15.0	8.0	35.0	10.5	1591	6		distinct	distinct
sim-199	meituan	差异化营养厨房19	特色营养套餐019	差异化套餐3	606	34.0	471	15.0	11.0	78.0	4.0	1664	9		distinct	distinct
sim-200	eleme	差异化营养厨房20	特色营养套餐020	差异化套餐4	623	41.3	389	15.0	21.0	35.0	7.5	1737	12		distinct	distinct
sim-201	jd	差异化营养厨房21	特色营养套餐021	差异化套餐5	640	48.6	633	15.0	29.0	78.0	3.0	1810	0		distinct	distinct
sim-202	meituan	差异化营养厨房22	特色营养套餐022	差异化套餐6	307	55.0	315	19.0	11.0	35.0	5.5	383	3		distinct	distinct
sim-203	eleme	差异化营养厨房23	特色营养套餐023	差异化套餐7	324	62.3	451	19.0	15.0	60.0	10.5	456	6		distinct	distinct
sim-204	jd	差异化营养厨房24	特色营养套餐024	差异化套餐8	341	69.6	477	19.0	29.0	35.0	4.0	529	9		distinct	distinct
sim-205	meituan	差异化营养厨房25	特色营养套餐025	差异化套餐1	358	21.0	408	24.0	8.0	60.0	7.5	602	12		distinct	distinct
sim-206	eleme	差异化营养厨房26	特色营养套餐026	差异化套餐2	375	28.3	371	24.0	15.0	35.0	3.0	675	0		distinct	distinct
sim-207	jd	差异化营养厨房27	特色营养套餐027	差异化套餐3	392	35.6	525	24.0	21.0	60.0	5.5	748	3		distinct	distinct
sim-208	meituan	差异化营养厨房28	特色营养套餐028	差异化套餐4	409	42.0	765	24.0	29.0	102.0	10.5	821	6		distinct	distinct
sim-209	eleme	差异化营养厨房29	特色营养套餐029	差异化套餐5	426	49.3	463	31.0	11.0	60.0	4.0	894	9		distinct	distinct
sim-210	jd	差异化营养厨房30	特色营养套餐030	差异化套餐6	443	56.6	667	31.0	15.0	102.0	7.5	967	12		distinct	distinct
sim-211	meituan	差异化营养厨房31	特色营养套餐031	差异化套餐7	460	63.0	625	31.0	29.0	60.0	3.0	1040	0		distinct	distinct
sim-212	eleme	差异化营养厨房32	特色营养套餐032	差异化套餐8	477	70.3	640	40.0	8.0	102.0	5.5	1113	3		distinct	distinct
sim-213	jd	差异化营养厨房33	特色营养套餐033	差异化套餐1	494	22.6	479	40.0	15.0	46.0	10.5	1186	6		distinct	distinct
sim-214	meituan	差异化营养厨房34	特色营养套餐034	差异化套餐2	511	29.0	757	40.0	21.0	102.0	4.0	1259	9		distinct	distinct
sim-215	eleme	差异化营养厨房35	特色营养套餐035	差异化套餐3	528	36.3	316	15.0	8.0	46.0	7.5	1332	12		distinct	distinct
sim-216	jd	差异化营养厨房36	特色营养套餐036	差异化套餐4	545	43.6	567	15.0	11.0	102.0	3.0	1405	0		distinct	distinct
sim-217	meituan	差异化营养厨房37	特色营养套餐037	差异化套餐5	562	50.0	433	15.0	21.0	46.0	5.5	1478	3		distinct	distinct
sim-218	eleme	差异化营养厨房38	特色营养套餐038	差异化套餐6	579	57.3	633	15.0	29.0	78.0	10.5	1551	6		distinct	distinct
sim-219	jd	差异化营养厨房39	特色营养套餐039	差异化套餐7	596	64.6	359	19.0	11.0	46.0	4.0	1624	9		distinct	distinct
sim-220	meituan	差异化营养厨房40	特色营养套餐040	差异化套餐8	613	71.0	523	19.0	15.0	78.0	7.5	1697	12		distinct	distinct
sim-221	eleme	差异化营养厨房01	特色营养套餐041	差异化套餐1	630	23.3	521	19.0	29.0	46.0	3.0	1770	0		distinct	distinct
sim-222	jd	差异化营养厨房02	特色营养套餐042	差异化套餐2	647	30.6	480	24.0	8.0	78.0	5.5	1843	3		distinct	distinct
sim-223	meituan	差异化营养厨房03	特色营养套餐043	差异化套餐3	314	37.0	371	24.0	15.0	35.0	10.5	416	6		distinct	distinct
sim-224	eleme	差异化营养厨房04	特色营养套餐044	差异化套餐4	331	44.3	597	24.0	21.0	78.0	4.0	489	9		distinct	distinct
sim-225	jd	差异化营养厨房05	特色营养套餐045	差异化套餐5	348	51.6	336	31.0	8.0	35.0	7.5	562	12		distinct	distinct
sim-226	meituan	差异化营养厨房06	特色营养套餐046	差异化套餐6	365	58.0	535	31.0	11.0	78.0	3.0	635	0		distinct	distinct
sim-227	eleme	差异化营养厨房07	特色营养套餐047	差异化套餐7	382	65.3	453	31.0	21.0	35.0	5.5	708	3		distinct	distinct
sim-228	jd	差异化营养厨房08	特色营养套餐048	差异化套餐8	399	72.6	625	31.0	29.0	60.0	10.5	781	6		distinct	distinct
sim-229	meituan	差异化营养厨房09	特色营养套餐049	差异化套餐1	416	24.0	399	40.0	11.0	35.0	4.0	854	9		distinct	distinct
sim-230	eleme	差异化营养厨房10	特色营养套餐050	差异化套餐2	433	31.3	535	40.0	15.0	60.0	7.5	927	12		distinct	distinct
sim-231	jd	差异化营养厨房11	特色营养套餐051	差异化套餐3	450	38.6	561	40.0	29.0	35.0	3.0	1000	0		distinct	distinct
sim-232	meituan	差异化营养厨房12	特色营养套餐052	差异化套餐4	467	45.0	372	15.0	8.0	60.0	5.5	1073	3		distinct	distinct
sim-233	eleme	差异化营养厨房13	特色营养套餐053	差异化套餐5	484	52.3	567	15.0	11.0	102.0	10.5	1146	6		distinct	distinct
sim-234	jd	差异化营养厨房14	特色营养套餐054	差异化套餐6	501	59.6	489	15.0	21.0	60.0	4.0	1219	9		distinct	distinct
sim-235	meituan	差异化营养厨房15	特色营养套餐055	差异化套餐7	518	66.0	729	15.0	29.0	102.0	7.5	1292	12		distinct	distinct
sim-236	eleme	差异化营养厨房16	特色营养套餐056	差异化套餐8	535	18.3	415	19.0	11.0	60.0	3.0	1365	0		distinct	distinct
sim-237	jd	差异化营养厨房17	特色营养套餐057	差异化套餐1	552	25.6	619	19.0	15.0	102.0	5.5	1438	3		distinct	distinct
sim-238	meituan	差异化营养厨房18	特色营养套餐058	差异化套餐2	569	32.0	521	19.0	29.0	46.0	10.5	1511	6		distinct	distinct
sim-239	eleme	差异化营养厨房19	特色营养套餐059	差异化套餐3	586	39.3	576	24.0	8.0	102.0	4.0	1584	9		distinct	distinct
sim-240	jd	差异化营养厨房20	特色营养套餐060	差异化套餐4	603	46.6	415	24.0	15.0	46.0	7.5	1657	12		distinct	distinct
sim-241	meituan	差异化营养厨房21	特色营养套餐061	差异化套餐5	620	53.0	693	24.0	21.0	102.0	3.0	1730	0		distinct	distinct
sim-242	eleme	差异化营养厨房22	特色营养套餐062	差异化套餐6	637	60.3	380	31.0	8.0	46.0	5.5	1803	3		distinct	distinct
sim-243	jd	差异化营养厨房23	特色营养套餐063	差异化套餐7	304	67.6	535	31.0	11.0	78.0	10.5	376	6		distinct	distinct
sim-244	meituan	差异化营养厨房24	特色营养套餐064	差异化套餐8	321	19.0	497	31.0	21.0	46.0	4.0	449	9		distinct	distinct
sim-245	eleme	差异化营养厨房25	特色营养套餐065	差异化套餐1	338	26.3	697	31.0	29.0	78.0	7.5	522	12		distinct	distinct
sim-246	jd	差异化营养厨房26	特色营养套餐066	差异化套餐2	355	33.6	443	40.0	11.0	46.0	3.0	595	0		distinct	distinct
sim-247	meituan	差异化营养厨房27	特色营养套餐067	差异化套餐3	372	40.0	607	40.0	15.0	78.0	5.5	668	3		distinct	distinct
sim-248	eleme	差异化营养厨房28	特色营养套餐068	差异化套餐4	389	47.3	561	40.0	29.0	35.0	10.5	741	6		distinct	distinct
sim-249	jd	差异化营养厨房29	特色营养套餐069	差异化套餐5	406	54.6	444	15.0	8.0	78.0	4.0	814	9		distinct	distinct
sim-250	meituan	差异化营养厨房30	特色营养套餐070	差异化套餐6	423	61.0	335	15.0	15.0	35.0	7.5	887	12		distinct	distinct
sim-251	eleme	差异化营养厨房31	特色营养套餐071	差异化套餐7	440	68.3	561	15.0	21.0	78.0	3.0	960	0		distinct	distinct
sim-252	jd	差异化营养厨房32	特色营养套餐072	差异化套餐8	457	20.6	288	19.0	8.0	35.0	5.5	1033	3		distinct	distinct
sim-253	meituan	差异化营养厨房33	特色营养套餐073	差异化套餐1	474	27.0	415	19.0	11.0	60.0	10.5	1106	6		distinct	distinct
sim-254	eleme	差异化营养厨房34	特色营养套餐074	差异化套餐2	491	34.3	405	19.0	21.0	35.0	4.0	1179	9		distinct	distinct
sim-255	jd	差异化营养厨房35	特色营养套餐075	差异化套餐3	508	41.6	577	19.0	29.0	60.0	7.5	1252	12		distinct	distinct
sim-256	meituan	差异化营养厨房36	特色营养套餐076	差异化套餐4	525	48.0	335	24.0	11.0	35.0	3.0	1325	0		distinct	distinct
sim-257	eleme	差异化营养厨房37	特色营养套餐077	差异化套餐5	542	55.3	471	24.0	15.0	60.0	5.5	1398	3		distinct	distinct
sim-258	jd	差异化营养厨房38	特色营养套餐078	差异化套餐6	559	62.6	693	24.0	21.0	102.0	10.5	1471	6		distinct	distinct
sim-259	meituan	差异化营养厨房39	特色营养套餐079	差异化套餐7	576	69.0	436	31.0	8.0	60.0	4.0	1544	9		distinct	distinct
sim-260	eleme	差异化营养厨房40	特色营养套餐080	差异化套餐8	593	21.3	631	31.0	11.0	102.0	7.5	1617	12		distinct	distinct
sim-261	jd	差异化营养厨房01	特色营养套餐081	差异化套餐1	610	28.6	553	31.0	21.0	60.0	3.0	1690	0		distinct	distinct
sim-262	meituan	差异化营养厨房02	特色营养套餐082	差异化套餐2	627	35.0	793	31.0	29.0	102.0	5.5	1763	3		distinct	distinct
sim-263	eleme	差异化营养厨房03	特色营养套餐083	差异化套餐3	644	42.3	443	40.0	11.0	46.0	10.5	1836	6		distinct	distinct
sim-264	jd	差异化营养厨房04	特色营养套餐084	差异化套餐4	311	49.6	703	40.0	15.0	102.0	4.0	409	9		distinct	distinct
sim-265	meituan	差异化营养厨房05	特色营养套餐085	差异化套餐5	328	56.0	605	40.0	29.0	46.0	7.5	482	12		distinct	distinct
sim-266	eleme	差异化营养厨房06	特色营养套餐086	差异化套餐6	345	63.3	540	15.0	8.0	102.0	3.0	555	0		distinct	distinct
sim-267	jd	差异化营养厨房07	特色营养套餐087	差异化套餐7	362	70.6	379	15.0	15.0	46.0	5.5	628	3		distinct	distinct
sim-268	meituan	差异化营养厨房08	特色营养套餐088	差异化套餐8	379	22.0	561	15.0	21.0	78.0	10.5	701	6		distinct	distinct
sim-269	eleme	差异化营养厨房09	特色营养套餐089	差异化套餐1	396	29.3	332	19.0	8.0	46.0	4.0	774	9		distinct	distinct
sim-270	jd	差异化营养厨房10	特色营养套餐090	差异化套餐2	413	36.6	487	19.0	11.0	78.0	7.5	847	12		distinct	distinct
sim-271	meituan	差异化营养厨房11	特色营养套餐091	差异化套餐3	430	43.0	449	19.0	21.0	46.0	3.0	920	0		distinct	distinct
sim-272	eleme	差异化营养厨房12	特色营养套餐092	差异化套餐4	447	50.3	649	19.0	29.0	78.0	5.5	993	3		distinct	distinct
sim-273	jd	差异化营养厨房13	特色营养套餐093	差异化套餐5	464	57.6	335	24.0	11.0	35.0	10.5	1066	6		distinct	distinct
sim-274	meituan	差异化营养厨房14	特色营养套餐094	差异化套餐6	481	64.0	543	24.0	15.0	78.0	4.0	1139	9		distinct	distinct
sim-275	eleme	差异化营养厨房15	特色营养套餐095	差异化套餐7	498	71.3	497	24.0	29.0	35.0	7.5	1212	12		distinct	distinct
sim-276	jd	差异化营养厨房16	特色营养套餐096	差异化套餐8	515	23.6	508	31.0	8.0	78.0	3.0	1285	0		distinct	distinct
sim-277	meituan	差异化营养厨房17	特色营养套餐097	差异化套餐1	532	30.0	399	31.0	15.0	35.0	5.5	1358	3		distinct	distinct
sim-278	eleme	差异化营养厨房18	特色营养套餐098	差异化套餐2	549	37.3	553	31.0	21.0	60.0	10.5	1431	6		distinct	distinct
sim-279	jd	差异化营养厨房19	特色营养套餐099	差异化套餐3	566	44.6	372	40.0	8.0	35.0	4.0	1504	9		distinct	distinct
sim-280	meituan	差异化营养厨房20	特色营养套餐100	差异化套餐4	583	51.0	499	40.0	11.0	60.0	7.5	1577	12		distinct	distinct
sim-281	eleme	差异化营养厨房21	特色营养套餐101	差异化套餐5	600	58.3	489	40.0	21.0	35.0	3.0	1650	0		distinct	distinct
sim-282	jd	差异化营养厨房22	特色营养套餐102	差异化套餐6	617	65.6	661	40.0	29.0	60.0	5.5	1723	3		distinct	distinct
sim-283	meituan	差异化营养厨房23	特色营养套餐103	差异化套餐7	634	72.0	540	15.0	8.0	102.0	10.5	1796	6		distinct	distinct
sim-284	eleme	差异化营养厨房24	特色营养套餐104	差异化套餐8	301	24.3	435	15.0	15.0	60.0	4.0	369	9		distinct	distinct
sim-285	jd	差异化营养厨房25	特色营养套餐105	差异化套餐1	318	31.6	657	15.0	21.0	102.0	7.5	442	12		distinct	distinct
sim-286	meituan	差异化营养厨房26	特色营养套餐106	差异化套餐2	335	38.0	388	19.0	8.0	60.0	3.0	515	0		distinct	distinct
sim-287	eleme	差异化营养厨房27	特色营养套餐107	差异化套餐3	352	45.3	583	19.0	11.0	102.0	5.5	588	3		distinct	distinct
sim-288	jd	差异化营养厨房28	特色营养套餐108	差异化套餐4	369	52.6	449	19.0	21.0	46.0	10.5	661	6		distinct	distinct
sim-289	meituan	差异化营养厨房29	特色营养套餐109	差异化套餐5	386	59.0	745	19.0	29.0	102.0	4.0	734	9		distinct	distinct
sim-290	eleme	差异化营养厨房30	特色营养套餐110	差异化套餐6	403	66.3	379	24.0	11.0	46.0	7.5	807	12		distinct	distinct
sim-291	jd	差异化营养厨房31	特色营养套餐111	差异化套餐7	420	18.6	639	24.0	15.0	102.0	3.0	880	0		distinct	distinct
sim-292	meituan	差异化营养厨房32	特色营养套餐112	差异化套餐8	437	25.0	541	24.0	29.0	46.0	5.5	953	3		distinct	distinct
sim-293	eleme	差异化营养厨房33	特色营养套餐113	差异化套餐1	454	32.3	508	31.0	8.0	78.0	10.5	1026	6		distinct	distinct
sim-294	jd	差异化营养厨房34	特色营养套餐114	差异化套餐2	471	39.6	443	31.0	15.0	46.0	4.0	1099	9		distinct	distinct
sim-295	meituan	差异化营养厨房35	特色营养套餐115	差异化套餐3	488	46.0	625	31.0	21.0	78.0	7.5	1172	12		distinct	distinct
sim-296	eleme	差异化营养厨房36	特色营养套餐116	差异化套餐4	505	53.3	416	40.0	8.0	46.0	3.0	1245	0		distinct	distinct
sim-297	jd	差异化营养厨房37	特色营养套餐117	差异化套餐5	522	60.6	571	40.0	11.0	78.0	5.5	1318	3		distinct	distinct
sim-298	meituan	差异化营养厨房38	特色营养套餐118	差异化套餐6	539	67.0	489	40.0	21.0	35.0	10.5	1391	6		distinct	distinct
sim-299	eleme	差异化营养厨房39	特色营养套餐119	差异化套餐7	556	19.3	733	40.0	29.0	78.0	4.0	1464	9		distinct	distinct
sim-300	jd	差异化营养厨房40	特色营养套餐120	差异化套餐8	573	26.6	299	15.0	11.0	35.0	7.5	1537	12		distinct	distinct
sim-301	meituan	差异化营养厨房01	特色营养套餐121	差异化套餐1	590	33.0	507	15.0	15.0	78.0	3.0	1610	0		distinct	distinct
sim-302	eleme	差异化营养厨房02	特色营养套餐122	差异化套餐2	607	40.3	461	15.0	29.0	35.0	5.5	1683	3		distinct	distinct
sim-303	jd	差异化营养厨房03	特色营养套餐123	差异化套餐3	624	47.6	388	19.0	8.0	60.0	10.5	1756	6		distinct	distinct
sim-304	meituan	差异化营养厨房04	特色营养套餐124	差异化套餐4	641	54.0	351	19.0	15.0	35.0	4.0	1829	9		distinct	distinct
sim-305	eleme	差异化营养厨房05	特色营养套餐125	差异化套餐5	308	61.3	505	19.0	21.0	60.0	7.5	402	12		distinct	distinct
sim-306	jd	差异化营养厨房06	特色营养套餐126	差异化套餐6	325	68.6	308	24.0	8.0	35.0	3.0	475	0		distinct	distinct
sim-307	meituan	差异化营养厨房07	特色营养套餐127	差异化套餐7	342	20.0	435	24.0	11.0	60.0	5.5	548	3		distinct	distinct
sim-308	eleme	差异化营养厨房08	特色营养套餐128	差异化套餐8	359	27.3	639	24.0	15.0	102.0	10.5	621	6		distinct	distinct
sim-309	jd	差异化营养厨房09	特色营养套餐129	差异化套餐1	376	34.6	597	24.0	29.0	60.0	4.0	694	9		distinct	distinct
sim-310	meituan	差异化营养厨房10	特色营养套餐130	差异化套餐2	393	41.0	604	31.0	8.0	102.0	7.5	767	12		distinct	distinct
sim-311	eleme	差异化营养厨房11	特色营养套餐131	差异化套餐3	410	48.3	499	31.0	15.0	60.0	3.0	840	0		distinct	distinct
sim-312	jd	差异化营养厨房12	特色营养套餐132	差异化套餐4	427	55.6	721	31.0	21.0	102.0	5.5	913	3		distinct	distinct
sim-313	meituan	差异化营养厨房13	特色营养套餐133	差异化套餐5	444	62.0	416	40.0	8.0	46.0	10.5	986	6		distinct	distinct
sim-314	eleme	差异化营养厨房14	特色营养套餐134	差异化套餐6	461	69.3	667	40.0	11.0	102.0	4.0	1059	9		distinct	distinct
sim-315	jd	差异化营养厨房15	特色营养套餐135	差异化套餐7	478	21.6	533	40.0	21.0	46.0	7.5	1132	12		distinct	distinct
sim-316	meituan	差异化营养厨房16	特色营养套餐136	差异化套餐8	495	28.0	829	40.0	29.0	102.0	3.0	1205	0		distinct	distinct
sim-317	eleme	差异化营养厨房17	特色营养套餐137	差异化套餐1	512	35.3	343	15.0	11.0	46.0	5.5	1278	3		distinct	distinct
sim-318	jd	差异化营养厨房18	特色营养套餐138	差异化套餐2	529	42.6	507	15.0	15.0	78.0	10.5	1351	6		distinct	distinct
sim-319	meituan	差异化营养厨房19	特色营养套餐139	差异化套餐3	546	49.0	505	15.0	29.0	46.0	4.0	1424	9		distinct	distinct
sim-320	eleme	差异化营养厨房20	特色营养套餐140	差异化套餐4	563	56.3	460	19.0	8.0	78.0	7.5	1497	12		distinct	distinct
sim-321	jd	差异化营养厨房21	特色营养套餐141	差异化套餐5	580	63.6	395	19.0	15.0	46.0	3.0	1570	0		distinct	distinct
sim-322	meituan	差异化营养厨房22	特色营养套餐142	差异化套餐6	597	70.0	577	19.0	21.0	78.0	5.5	1643	3		distinct	distinct
sim-323	eleme	差异化营养厨房23	特色营养套餐143	差异化套餐7	614	22.3	308	24.0	8.0	35.0	10.5	1716	6		distinct	distinct
sim-324	jd	差异化营养厨房24	特色营养套餐144	差异化套餐8	631	29.6	507	24.0	11.0	78.0	4.0	1789	9		distinct	distinct
sim-325	meituan	差异化营养厨房25	特色营养套餐145	差异化套餐1	648	36.0	425	24.0	21.0	35.0	7.5	362	12		distinct	distinct
sim-326	eleme	差异化营养厨房26	特色营养套餐146	差异化套餐2	315	43.3	669	24.0	29.0	78.0	3.0	435	0		distinct	distinct
sim-327	jd	差异化营养厨房27	特色营养套餐147	差异化套餐3	332	50.6	363	31.0	11.0	35.0	5.5	508	3		distinct	distinct
sim-328	meituan	差异化营养厨房28	特色营养套餐148	差异化套餐4	349	57.0	499	31.0	15.0	60.0	10.5	581	6		distinct	distinct
sim-329	eleme	差异化营养厨房29	特色营养套餐149	差异化套餐5	366	64.3	525	31.0	29.0	35.0	4.0	654	9		distinct	distinct
sim-330	jd	差异化营养厨房30	特色营养套餐150	差异化套餐6	383	71.6	472	40.0	8.0	60.0	7.5	727	12		distinct	distinct
sim-331	meituan	差异化营养厨房31	特色营养套餐151	差异化套餐7	400	23.0	435	40.0	15.0	35.0	3.0	800	0		distinct	distinct
sim-332	eleme	差异化营养厨房32	特色营养套餐152	差异化套餐8	417	30.3	589	40.0	21.0	60.0	5.5	873	3		distinct	distinct
sim-333	jd	差异化营养厨房33	特色营养套餐153	差异化套餐1	434	37.6	829	40.0	29.0	102.0	10.5	946	6		distinct	distinct
sim-334	meituan	差异化营养厨房34	特色营养套餐154	差异化套餐2	451	44.0	399	15.0	11.0	60.0	4.0	1019	9		distinct	distinct
sim-335	eleme	差异化营养厨房35	特色营养套餐155	差异化套餐3	468	51.3	603	15.0	15.0	102.0	7.5	1092	12		distinct	distinct
sim-336	jd	差异化营养厨房36	特色营养套餐156	差异化套餐4	485	58.6	561	15.0	29.0	60.0	3.0	1165	0		distinct	distinct
sim-337	meituan	差异化营养厨房37	特色营养套餐157	差异化套餐5	502	65.0	556	19.0	8.0	102.0	5.5	1238	3		distinct	distinct
sim-338	eleme	差异化营养厨房38	特色营养套餐158	差异化套餐6	519	72.3	395	19.0	15.0	46.0	10.5	1311	6		distinct	distinct
sim-339	jd	差异化营养厨房39	特色营养套餐159	差异化套餐7	536	24.6	673	19.0	21.0	102.0	4.0	1384	9		distinct	distinct
sim-340	meituan	差异化营养厨房40	特色营养套餐160	差异化套餐8	553	31.0	352	24.0	8.0	46.0	7.5	1457	12		distinct	distinct
sim-341	eleme	差异化营养厨房01	特色营养套餐161	差异化套餐1	570	38.3	603	24.0	11.0	102.0	3.0	1530	0		distinct	distinct
sim-342	jd	差异化营养厨房02	特色营养套餐162	差异化套餐2	587	45.6	469	24.0	21.0	46.0	5.5	1603	3		distinct	distinct
sim-343	meituan	差异化营养厨房03	特色营养套餐163	差异化套餐3	604	52.0	669	24.0	29.0	78.0	10.5	1676	6		distinct	distinct
